V1,Average Value of bitstampUSD Buys
11/8/2013,852.2151874
11/9/2013,933.8360963
11/10/2013,995.2047373
11/11/2013,1070.15713
11/12/2013,1133.711664
11/13/2013,966.2388491
11/14/2013,1007.738382
11/15/2013,1051.402289
11/16/2013,1103.461564
11/17/2013,989.072256
11/18/2013,906.1841506
11/19/2013,714.9722186
11/20/2013,735.1642324
11/21/2013,862.382734
11/22/2013,942.5389945
11/23/2013,891.1764591
11/24/2013,863.0516918
11/25/2013,882.5285881
11/26/2013,861.5460599
11/27/2013,838.912845
11/28/2013,748.7106276
11/29/2013,684.5732307
11/30/2013,539.5761754
12/1/2013,623.0003595
12/2/2013,662.0688002
12/3/2013,603.7140159
12/4/2013,632.2311297
12/5/2013,637.1453553
12/6/2013,649.6224673
12/7/2013,661.8987581
12/8/2013,721.0660548
12/9/2013,726.2188828
12/10/2013,718.984457
12/11/2013,716.5197534
12/12/2013,733.9683629
12/13/2013,727.5448181
12/14/2013,745.4316335
12/15/2013,765.9051505
12/16/2013,798.573898
12/17/2013,813.5177148
12/18/2013,887.0750046
12/19/2013,934.3876686
12/20/2013,866.8760226
12/21/2013,811.1745212
12/22/2013,816.4879749
12/23/2013,827.3070436
12/24/2013,880.0440744
12/25/2013,861.2497802
12/26/2013,815.1780727
12/27/2013,821.8178515
12/28/2013,836.3942027
12/29/2013,831.3538526
12/30/2013,796.1086198
12/31/2013,807.2728504
1/1/2014,820.0007336
1/2/2014,831.1884828
1/3/2014,822.0862936
1/4/2014,815.1843609
1/5/2014,812.608166
1/6/2014,787.1395636
1/7/2014,799.1919526
1/8/2014,816.716681
1/9/2014,783.8248819
1/10/2014,780.1459578
1/11/2014,793.3898934
1/12/2014,792.4564093
1/13/2014,801.6397389
1/14/2014,814.9857717
1/15/2014,817.6182374
1/16/2014,808.888031
1/17/2014,803.9250063
1/18/2014,796.4067889
1/19/2014,777.1673837
1/20/2014,711.8794904
1/21/2014,698.4578071
1/22/2014,698.7086039
1/23/2014,653.1965463
1/24/2014,676.7534552
1/25/2014,660.3721153
1/26/2014,633.4668177
1/27/2014,627.5511653
1/28/2014,652.3153521
1/29/2014,626.538424
1/30/2014,636.1449926
1/31/2014,628.5291656
2/1/2014,626.6078176
2/2/2014,592.8250376
2/3/2014,564.7349383
2/4/2014,588.2866754
2/5/2014,620.9673135
2/6/2014,565.0522102
2/7/2014,490.4089181
2/8/2014,578.4770045
2/9/2014,585.6184385
2/10/2014,567.2036143
2/11/2014,560.0714452
2/12/2014,562.9165901
2/13/2014,629.0773703
2/14/2014,680.4740305
2/15/2014,665.8634863
2/16/2014,663.4847208
2/17/2014,636.2666046
2/18/2014,620.7728406
2/19/2014,636.1667209
2/20/2014,626.5632967
2/21/2014,627.9542536
2/22/2014,641.0391463
2/23/2014,643.6677626
2/24/2014,634.405144
2/25/2014,633.5791653
2/26/2014,633.2955276
2/27/2014,625.0601806
2/28/2014,611.3285189
3/1/2014,613.5486028
3/2/2014,593.542657
3/3/2014,580.0382859
3/4/2014,559.626327
3/5/2014,563.6475426
3/6/2014,569.291621
3/7/2014,577.430865
