"currency","high","latest_trade","weighted_price","bid","volume","ask","low","duration","close","avg","symbol","currency_volume"
"128","USD",NA,1492315148,NA,649,0,650,NA,88385,1248,NA,"cbxUSD",0
"129","RUB",NA,1500979671,NA,153205.96155,0,154057.54522,NA,88385,154032.52253,NA,"btceRUR",0
"130","EUR",NA,1500979657,NA,2222.4,0,2231.30634,NA,88385,2226.85317,NA,"btceEUR",0
"131","EUR",NA,1409797601,NA,412,0,503,NA,88385,412,NA,"btc24EUR",0
"132","EUR",NA,1476443216,NA,569.9902,0,595.8599,NA,88385,573,NA,"bitcurexEUR",0
"133","USD",NA,1514947606,NA,13500.01,0,16369,NA,88385,14890,NA,"rockUSD",0
"134","EUR",6538,1528252499,6416.74570314335,6488.9,4739.94857665,6489,6300.2,88563,6489,6416.74570314335,"krakenEUR",30415044.6623393
"135","DKK",NA,1393268569,NA,715.58259,0,752.73415,NA,88385,1000,NA,"mtgoxDKK",0
"136","RUB",NA,1393272147,NA,4683.28589,0,4926.4324,NA,88385,5899.99,NA,"mtgoxRUB",0
"137","THB",NA,1392944199,NA,4017.40562,0,4830.52184,NA,88385,3500,NA,"mtgoxTHB",0
"138","CHF",NA,1393289700,NA,117.07424,0,123.15249,NA,88385,100,NA,"mtgoxCHF",0
"139","GBP",NA,1366825383,NA,NA,0,NA,NA,88386,99.70799664,NA,"bcGBP",0
"140","EUR",NA,1321512379,NA,NA,0,NA,NA,88386,1.71,NA,"aqoinEUR",0
"141","USD",NA,1307246798,NA,NA,0,NA,NA,88386,23.5,NA,"bcmPPUSD",0
"142","PLN",NA,1319837979,NA,NA,0,NA,NA,88386,10,NA,"bitchangePLN",0
"143","JPY",NA,1393293289,NA,13659.07,0,14191.435,NA,88386,13959.262,NA,"mtgoxJPY",0
"144","GBP",NA,1393293367,NA,79.07713,0,83.18265,NA,88386,81.82177,NA,"mtgoxGBP",0
"145","GBP",NA,1393897477,NA,271.3998,0,376.17865,NA,88386,376.17865,NA,"intrsngGBP",0
"146","CAD",14933.04,1528250297,9533.7113218627,24694.54,8.49975077,9574.94,8535.57,88386,9109.49,9533.7113218627,"localbtcCAD",81034.1701489602
"147","NZD",13664.94,1528237063,10955.8356873851,14742.4,8.26885803,11382,10247.34,88386,11696.37,10955.8356873851,"localbtcNZD",90592.249898995
"148","AUD",32150,1528249097,10187.3560354431,22994.02,22.40244572,10007.77,9084,88563,10896,10187.3560354431,"localbtcAUD",228221.690614329
"149","EUR",NA,1514740704,NA,726.00000001,0,6400,NA,88386,6400,NA,"vcxEUR",0
"150","USD",NA,1350761253,NA,NA,0,NA,NA,88386,11.9,NA,"intrsngUSD",0
"151","EUR",13326.58,1528251150,6645.74751192742,25995.3,53.55118442,6433.84,5564.1,88563,6249,6645.74751192742,"localbtcEUR",355887.650619981
"152","LTC",NA,1385602819,NA,NA,0,27,NA,88386,67.756456,NA,"bitmeLTC",0
"153","EUR",NA,1523705925,NA,6418.4776,0,6553.645,NA,88386,6399.1227,NA,"bitmarketEUR",0
"154","PLN",NA,1528092661,NA,22654.8,0,33655.83,NA,88563,27830.62,NA,"nevbitPLN",0
"155","EUR",9000,1528251850,6437.51479003652,6510,118.86408099,6509.97,6101,88563,6462.22,6437.51479003652,"btcdeEUR",765189.279377223
"156","AUD",NA,1393314724,NA,NA,0,26,NA,88386,26,NA,"wbxAUD",0
"157","EUR",NA,1415054500,NA,NA,0,265,NA,88386,258,NA,"rippleEUR",0
"158","USD",NA,1370728226,NA,NA,0,NA,NA,88386,119,NA,"lybitUSD",0
"159","LTC",NA,1468938689,NA,161.34427,0,162.06659,NA,88386,160.565,NA,"krakenLTC",0
"160","LTC",NA,1414598245,NA,83.85,0,200,NA,88386,95.086,NA,"justLTC",0
"161","USD",NA,1500979697,NA,2546,0,2546.78,NA,88386,2546,NA,"btceUSD",0
"162","NZD",NA,1492164813,NA,1200,0,2000,NA,88386,2000,NA,"bitnzNZD",0
